,process_id,ifo,end_time,end_time_ns,eff_distance,coa_phase,mass1,mass2,snr,chisq,chisq_dof,bank_chisq,bank_chisq_dof,sigmasq,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,template_duration,event_id,Gamma0,Gamma1
28,0,H1,1267056111,810727111,,-1.0675322,1.472632,1.416385,4.6769824,0.7933523,1,4.6769824,0,4156753.594270921,0.0,0.0,0.0,0.0,0.0,0.0,53.30148927726279,11103,695232.0,0.0
29,0,L1,1267056111,811865734,,1.9733843,1.472632,1.416385,4.5967855,0.8602724,1,4.5967855,0,5289550.553960638,0.0,0.0,0.0,0.0,0.0,0.0,53.30148927726279,11186,695232.0,0.0
30,0,H1,1267056113,575530233,,-1.79646,1.448569,1.393548,4.3730254,0.7453528,1,4.3730254,0,4045851.258427117,0.0,0.0,0.0,0.0,0.0,0.0,54.74709865387872,11317,5578391.0,0.0
31,0,L1,1267056115,859289206,,2.2465506,1.472963,1.416744,4.2868423,1.1790901,1,4.055533,0,5291641.737921179,0.0,0.0,0.0,0.0,0.0,0.0,53.28065142128306,11633,536757.0,0.0
32,0,H1,1267056118,96087349,,0.07349279,1.5561,1.322199,4.3251977,1.0368202,1,4.2772756,0,4105636.342866428,0.0,0.0,0.0,0.0,0.0,0.0,53.95870362146711,11920,3480132.0,0.0
33,0,L1,1267056118,91805416,,-1.8723624,1.5561,1.322199,4.158682,0.9052916,1,4.158682,0,5224484.338133551,0.0,0.0,0.0,0.0,0.0,0.0,53.95870362146711,11990,3480132.0,0.0
34,0,H1,1267056119,108475625,,-0.7353869,1.462743,1.406999,4.0898056,1.033809,1,4.048206,0,4111039.999185425,0.0,0.0,0.0,0.0,0.0,0.0,53.88803855005527,12069,3188813.0,0.0
35,0,H1,1267056124,547789938,,3.1201916,1.577115,1.250185,4.6068707,1.1789685,1,4.3584604,0,3959011.981287543,0.0,0.0,0.0,0.0,0.0,0.0,55.93646978403505,12499,7893231.0,0.0
36,0,L1,1267056124,545463206,,-0.8532975,1.577115,1.250185,4.4528565,0.98546,1,4.4528565,0,5037840.583535566,0.0,0.0,0.0,0.0,0.0,0.0,55.93646978403505,12566,7893231.0,0.0
37,0,L1,1267056124,861068150,,2.3353086,1.430785,1.37667,4.73616,0.8609581,1,4.73616,0,5044983.041624538,0.0,0.0,0.0,0.0,0.0,0.0,55.85676979377371,12569,7843243.0,0.0
38,0,H1,1267056129,41090454,,-0.7168897,1.421622,1.367962,4.295812,1.1121277,1,4.150495,0,3922996.113176422,0.0,0.0,0.0,0.0,0.0,0.0,56.44320602427548,13029,9432994.0,0.0
39,0,L1,1267056130,644546621,,2.635675,1.555642,1.344358,4.7516036,0.85902274,1,4.7516036,0,5296634.79984957,0.0,0.0,0.0,0.0,0.0,0.0,53.23138788709711,13197,190417.0,0.0
40,0,H1,1267056133,716553791,,-1.687153,1.558026,1.298726,4.179627,0.9831905,1,4.179627,0,4048306.887726978,0.0,0.0,0.0,0.0,0.0,0.0,54.7148901303952,13462,5545183.0,0.0
41,0,H1,1267056133,539067094,,0.92084414,1.450274,1.395183,4.252117,1.0504168,1,4.187555,0,4053711.588043084,0.0,0.0,0.0,0.0,0.0,0.0,54.64204668267223,13464,5450560.0,0.0
42,0,L1,1267056133,538715030,,0.44665235,1.450274,1.395183,4.095718,0.9670056,1,4.095718,0,5158366.58079407,0.0,0.0,0.0,0.0,0.0,0.0,54.64204668267223,13517,5450560.0,0.0
43,0,H1,1267056140,983530459,,1.6094537,1.472963,1.416744,4.151023,0.840144,1,4.151023,0,4158396.184205038,0.0,0.0,0.0,0.0,0.0,0.0,53.28065142128306,14226,536757.0,0.0
44,0,L1,1267056140,601023744,,0.7032991,1.467312,1.411339,4.044202,1.1350427,1,3.8794541,0,5258222.17310755,0.0,0.0,0.0,0.0,0.0,0.0,53.61563759198132,14311,2555122.0,0.0
45,0,H1,1267056141,265579035,,-0.032398425,1.473326,1.417071,4.463987,0.9968849,1,4.463987,0,4160035.443473473,0.0,0.0,0.0,0.0,0.0,0.0,53.25987216110129,14417,394387.0,0.0
46,0,L1,1267056141,264876898,,-0.15902674,1.473326,1.417071,4.1140285,1.0125304,1,4.098545,0,5293728.687424617,0.0,0.0,0.0,0.0,0.0,0.0,53.25987216110129,14516,394387.0,0.0
47,0,H1,1267056149,339183518,,-0.40826964,1.434083,1.379817,4.8670526,0.88470227,1,4.8670526,0,3979687.993540374,0.0,0.0,0.0,0.0,0.0,0.0,55.64768440410291,15376,7637858.0,0.0
48,0,L1,1267056149,335175444,,-2.6013997,1.434083,1.379817,4.0756574,1.0297774,1,4.0391555,0,5064144.877337133,0.0,0.0,0.0,0.0,0.0,0.0,55.64768440410291,15435,7637858.0,0.0
49,0,H1,1267056150,1626396,,2.2521782,1.430785,1.37667,4.045915,0.84598285,1,4.045915,0,3964633.260174705,0.0,0.0,0.0,0.0,0.0,0.0,55.85676979377371,15499,7843243.0,0.0
50,0,L1,1267056154,295961721,,1.2842207,1.460801,1.383925,4.6774316,1.0879549,1,4.553356,0,5154346.369352136,0.0,0.0,0.0,0.0,0.0,0.0,54.68424183374007,16171,5487998.0,0.0
51,0,H1,1267056155,866303077,,-1.1829475,1.443138,1.3884,4.2782583,0.8609135,1,4.2782583,0,4020996.642092808,0.0,0.0,0.0,0.0,0.0,0.0,55.08195873741274,16240,6139749.0,0.0
52,0,H1,1267056155,773535050,,-2.780127,1.555642,1.344358,4.08052,0.9809105,1,4.08052,0,4162311.719023351,0.0,0.0,0.0,0.0,0.0,0.0,53.23138788709711,16263,190417.0,0.0
53,0,L1,1267056155,868233899,,-0.35668606,1.443138,1.3884,4.0899005,1.2600272,1,3.7712026,0,5116724.170729992,0.0,0.0,0.0,0.0,0.0,0.0,55.08195873741274,16290,6139749.0,0.0
54,0,L1,1267056164,966432778,,-0.07168921,1.433435,1.37918,4.044543,0.8803903,1,4.044543,0,5060320.843315433,0.0,0.0,0.0,0.0,0.0,0.0,55.68928490484383,17192,7677796.0,0.0
55,0,H1,1267056165,742149538,,-2.471127,1.467312,1.411339,4.4025974,0.9315026,1,4.4025974,0,4132145.253892152,0.0,0.0,0.0,0.0,0.0,0.0,53.61563759198132,17270,2555122.0,0.0
56,0,L1,1267056165,746823451,,-2.5060577,1.467312,1.411339,4.58063,1.2855862,1,4.189563,0,5258222.17310755,0.0,0.0,0.0,0.0,0.0,0.0,53.61563759198132,17338,2555122.0,0.0
57,0,H1,1267056174,457196948,,0.42256165,1.476189,1.423811,4.3113627,1.1125594,1,4.1649575,0,4183112.434198218,0.0,0.0,0.0,0.0,0.0,0.0,52.96905989514119,18207,1596822.0,0.0
58,0,L1,1267056174,462437001,,-3.1205645,1.476189,1.423811,4.180266,1.3190304,1,3.7830439,0,5323108.480865719,0.0,0.0,0.0,0.0,0.0,0.0,52.96905989514119,18312,1596822.0,0.0
59,0,L1,1267056175,320808908,,2.072923,1.433766,1.379492,4.0142374,0.7208298,1,4.0142374,0,5062233.273681156,0.0,0.0,0.0,0.0,0.0,0.0,55.6684723688978,18356,7640346.0,0.0
60,0,H1,1267056179,435946130,,-1.198212,1.460801,1.383925,4.019319,1.1503086,1,3.8371258,0,4050552.971800166,0.0,0.0,0.0,0.0,0.0,0.0,54.68424183374007,18591,5487998.0,0.0
61,0,H1,1267056183,942383742,,2.0186741,1.592263,1.263098,4.0556765,0.7725779,1,4.0556765,0,4024494.062112553,0.0,0.0,0.0,0.0,0.0,0.0,55.03570362227101,18959,6050301.0,0.0
62,0,L1,1267056183,955357582,,1.2563099,1.592263,1.263098,4.990449,0.6080087,1,4.990449,0,5121190.666402522,0.0,0.0,0.0,0.0,0.0,0.0,55.03570362227101,19006,6050301.0,0.0
63,0,L1,1267056186,3908414,,1.4058756,1.598974,1.241605,4.062839,0.80278575,1,4.062839,0,5064402.074289196,0.0,0.0,0.0,0.0,0.0,0.0,55.64647645763333,19306,7608726.0,0.0
64,0,H1,1267056190,109905777,,0.90914035,1.433435,1.37918,4.466973,1.0490623,1,4.4009757,0,3976683.606534996,0.0,0.0,0.0,0.0,0.0,0.0,55.68928490484383,19675,7677796.0,0.0
65,0,H1,1267056191,563799208,,0.73675996,1.432778,1.37855,4.3445215,0.92034835,1,4.3445215,0,3973676.284469207,0.0,0.0,0.0,0.0,0.0,0.0,55.73098855637895,19792,7734371.0,0.0
66,0,L1,1267056191,567813758,,2.5859232,1.432778,1.37855,4.5503016,0.9510564,1,4.5503016,0,5056493.08166289,0.0,0.0,0.0,0.0,0.0,0.0,55.73098855637895,19877,7734371.0,0.0
67,0,L1,1267056192,947024918,,-2.8574407,1.604412,1.295589,4.27749,0.9823974,1,4.27749,0,5264582.250341433,0.0,0.0,0.0,0.0,0.0,0.0,53.55253070782712,19995,2130394.0,0.0
68,0,L1,1267056198,477147231,,-2.963065,1.655319,1.174098,5.3439913,1.3090862,1,4.851454,0,4964711.266146524,0.0,0.0,0.0,0.0,0.0,0.0,56.75325918081897,20632,9839099.0,0.0
69,0,H1,1267056200,444564361,,0.70055777,1.433766,1.379492,4.1990848,0.8665451,1,4.1990848,0,3978186.125485517,0.0,0.0,0.0,0.0,0.0,0.0,55.6684723688978,20867,7640346.0,0.0
70,0,H1,1267056200,572602922,,2.5608807,1.460625,1.405024,4.1091895,0.8328617,1,4.1091895,0,4101359.68769683,0.0,0.0,0.0,0.0,0.0,0.0,54.01391068753381,20916,3803830.0,0.0
71,0,L1,1267056200,575766515,,0.0055000223,1.460625,1.405024,4.199084,0.72197074,1,4.199084,0,5219031.248794123,0.0,0.0,0.0,0.0,0.0,0.0,54.01391068753381,20958,3803830.0,0.0
72,0,H1,1267056208,366127831,,-1.2744678,1.429146,1.375089,4.458589,1.0972837,1,4.327751,0,3957118.97009502,0.0,0.0,0.0,0.0,0.0,0.0,55.96172161111243,21701,7999697.0,0.0
73,0,L1,1267056208,377153784,,-1.552666,1.429146,1.375089,4.8281517,0.9705845,1,4.8281517,0,5035418.839741023,0.0,0.0,0.0,0.0,0.0,0.0,55.96172161111243,21823,7999697.0,0.0
74,0,L1,1267056208,241234646,,-1.0379964,1.5561,1.322199,4.8677,0.9730662,1,4.8677,0,5224484.338133551,0.0,0.0,0.0,0.0,0.0,0.0,53.95870362146711,21866,3480132.0,0.0
75,0,H1,1267056211,137047266,,0.15189669,1.598974,1.241605,4.3422794,0.92033833,1,4.3422794,0,3979877.746861377,0.0,0.0,0.0,0.0,0.0,0.0,55.64647645763333,22075,7608726.0,0.0
76,0,L1,1267056214,972593641,,0.61849767,1.477622,1.421124,4.9062796,1.1755923,1,4.6466794,0,5319019.751233611,0.0,0.0,0.0,0.0,0.0,0.0,53.00934416010688,22624,1372220.0,0.0
77,0,H1,1267056217,721833788,,-0.3967116,1.477622,1.421124,4.6260133,0.7777196,1,4.6260133,0,4179900.830002024,0.0,0.0,0.0,0.0,0.0,0.0,53.00934416010688,22918,1372220.0,0.0
78,0,L1,1267056217,720234331,,-2.7327013,1.477622,1.421124,4.877288,0.8156125,1,4.877288,0,5319019.751233611,0.0,0.0,0.0,0.0,0.0,0.0,53.00934416010688,22970,1372220.0,0.0
79,0,H1,1267056218,80174206,,-1.3848522,1.604412,1.295589,4.437614,0.906502,1,4.437614,0,4137127.465930796,0.0,0.0,0.0,0.0,0.0,0.0,53.55253070782712,23014,2130394.0,0.0
80,0,H1,1267056223,615475809,,-2.879743,1.655319,1.174098,4.404026,1.3784723,1,3.911377,0,3901546.513501049,0.0,0.0,0.0,0.0,0.0,0.0,56.75325918081897,23457,9839099.0,0.0
81,0,H1,1267056223,236830629,,0.38579643,1.475471,1.419109,4.4369636,1.315549,1,4.019781,0,4169984.665677147,0.0,0.0,0.0,0.0,0.0,0.0,53.13410352981408,23559,377769.0,0.0
82,0,L1,1267056223,389154068,,-2.0293858,1.454755,1.399413,4.025789,0.9202076,1,4.025789,0,5184492.227581229,0.0,0.0,0.0,0.0,0.0,0.0,54.36964283269496,23580,4486741.0,0.0
83,0,L1,1267056223,238002979,,-2.344038,1.475471,1.419109,4.314191,0.97934836,1,4.314191,0,5306395.184825343,0.0,0.0,0.0,0.0,0.0,0.0,53.13410352981408,23601,377769.0,0.0
84,0,H1,1267056231,968243711,,1.3643005,1.619769,1.234162,4.0879602,0.881571,1,4.0879602,0,4000966.906190833,0.0,0.0,0.0,0.0,0.0,0.0,55.35641406221393,24445,7164256.0,0.0
85,0,L1,1267056231,967676548,,-1.0353233,1.619769,1.234162,4.6591034,1.360541,1,4.1613846,0,5091248.734362854,0.0,0.0,0.0,0.0,0.0,0.0,55.35641406221393,24467,7164256.0,0.0
86,0,H1,1267056233,369934147,,0.57264584,1.5561,1.322199,4.987141,0.86728364,1,4.987141,0,4105636.342866428,0.0,0.0,0.0,0.0,0.0,0.0,53.95870362146711,24674,3480132.0,0.0
87,0,L1,1267056235,641015004,,-1.4319181,1.438091,1.383619,4.159938,0.9130387,1,4.159938,0,5087400.986957542,0.0,0.0,0.0,0.0,0.0,0.0,55.39602700400919,24906,7243933.0,0.0
88,0,H1,1267056238,585731610,,2.904457,1.467312,1.411339,4.151231,1.0038048,1,4.1464906,0,4132145.253892152,0.0,0.0,0.0,0.0,0.0,0.0,53.61563759198132,25197,2555122.0,0.0
89,0,L1,1267056238,583961478,,-1.1642458,1.467312,1.411339,4.387882,1.1796702,1,4.1503596,0,5258222.17310755,0.0,0.0,0.0,0.0,0.0,0.0,53.61563759198132,25272,2555122.0,0.0
90,0,H1,1267056240,109802597,,-1.1818347,1.477622,1.421124,4.1436224,0.91481596,1,4.1436224,0,4179900.830002024,0.0,0.0,0.0,0.0,0.0,0.0,53.00934416010688,25534,1372220.0,0.0
91,0,H1,1267056247,828355681,,1.92858,1.432778,1.37855,4.615063,1.3284355,1,4.164103,0,3973676.284469207,0.0,0.0,0.0,0.0,0.0,0.0,55.73098855637895,26461,7734371.0,0.0
92,0,L1,1267056247,829139240,,-2.3706496,1.432778,1.37855,4.0144386,0.9927852,1,4.0144386,0,5056493.08166289,0.0,0.0,0.0,0.0,0.0,0.0,55.73098855637895,26550,7734371.0,0.0
